StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;nor_LeadTime;GlobalObjExitTardiness
14659;3;0;1594.9205;4784.7615;27132.0455;14833.193;8.9221;2776.2753;13638.9794;15334.7453;2;0;21067.2421;86.6279;-1933.5763
14660;2;2;828.6489;3314.5955;12665.7045;29894.7;22.5633;2801.9418;13923.9982;15899.0599;2;0;21067.2421;86.6279;-1933.5763
14661;2;3;824.5961;3298.3844;11978.1205;30598.4951;23.2962;2900.1753;14421.4957;16261.6623;3;0;21067.2421;86.6279;-1933.5763
14662;3;0;1600.7139;4802.1416;28890.0154;15432.843;10.3475;2825.1753;13676.3721;16123.4526;3;0;21067.1235;86.7465;-1933.6949
14663;2;3;824.5961;3298.3844;12539.0001;30037.6155;22.6802;2900.1753;14463.059;16220.099;3;0;21067.1235;86.7465;-1933.6949
14664;3;0;1600.7139;4802.1416;28453.8259;15869.0326;10.5718;2825.1753;13717.9354;16081.8893;4;0;21067.0049;86.8651;-1933.8133
14665;2;4;824.5961;3298.3844;13099.8796;29476.7359;22.0643;3128.0157;14504.6224;16034.0286;4;3;21067.0049;86.8651;-1933.8133
14666;2;0;783.0525;3132.21;12305.3443;27812.4457;20.7126;3114.1678;15003.1456;15549.3532;0;3;21067.0049;86.8651;-1933.8133
14667;3;3;1574.6167;4723.8502;30777.4382;15998.7116;11.2139;2971.5271;14573.6403;15079.8326;1;3;21066.8783;86.9917;-1934.2125
14668;2;1;748.157;2992.628;11143.3081;26489.0639;19.5037;2959.8953;14582.5325;15082.5722;1;0;21066.8783;86.9917;-1934.2125
14669;3;0;1534.5123;4603.5368;31254.725;15391.7383;11.2687;2884.8953;14559.5352;14222.2362;0;0;21066.9153;86.9547;-1934.1754
14670;2;0;673.157;2692.628;11386.4202;23670.9518;17.8833;2859.8953;14568.1733;14238.5981;0;3;21066.9153;86.9547;-1934.1754
14671;3;3;1572.7573;4718.2718;30347.766;16433.9622;11.7729;2823.1403;14147.2819;13821.2444;1;3;21066.7551;87.1149;-1934.0628
14672;2;1;634.6369;2538.5475;10318.0535;22268.3991;16.6683;2810.3003;14175.0825;13806.2839;1;3;21066.7551;87.1149;-1934.0628
14673;2;4;813.7205;3254.8819;9191.5963;23178.5218;15.9904;2789.6273;14542.9773;14334.0621;4;3;21066.7551;87.1149;-1934.0628
