StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;GlobalObjExitTardiness
1054;2;0;838.0904;3352.3616;10587.3635;16935.2749;10.029;3154.0607;11656.6223;9480.9837;0;0;21482.6695;-1362.6135
1055;3;0;1556.3427;4669.0281;22491.4415;8589.5304;3.6007;2970.2658;11251.6175;9028.1167;1;0;21480.257;-1369.0839
1056;3;1;1514.1429;4542.4288;20352.8447;8229.7265;3.3896;2928.066;10707.551;8739.383;1;1;21479.6549;-1366.2098
1057;3;4;1478.7474;4436.2422;18104.0055;7959.7523;3.2464;2892.6705;10099.5199;8507.8095;1;4;21478.9529;-1363.4486
1058;3;3;1403.7474;4211.2422;16023.6159;7390.1418;2.9737;3019.2996;9730.8168;8833.217;1;3;21481.133;-1361.5636
1059;2;1;794.981;3179.9241;12797.2727;14897.8032;8.9117;2945.636;9848.064;8789.6334;1;3;21481.133;-1361.5636
1060;2;3;876.5348;3506.1391;11702.3329;15916.528;8.7478;2925.7564;10400.9689;9131.6081;3;3;21481.133;-1361.5636
1061;2;1;835.9178;3343.6711;10712.5349;16818.794;10.2414;3014.2954;10992.4127;9409.9586;1;3;21481.133;-1361.5636
1062;3;3;1582.0271;4746.0814;19999.3363;8629.5823;3.6899;2858.3675;10360.9775;10030.655;1;3;21478.9135;-1367.8155
1063;3;4;1507.0271;4521.0814;18062.6256;7916.2929;3.3394;2896.0109;10053.4021;10300.587;1;4;21480.0604;-1366.9545
1064;3;4;1432.0271;4296.0814;16050.915;7278.0036;3.0306;3163.2535;9745.9693;11299.1106;1;4;21481.2031;-1366.0967
1065;2;1;883.6631;3534.6522;12607.913;22607.4348;15.1715;3103.9596;9755.6244;11348.7493;1;1;21481.2031;-1366.0967
1066;2;1;808.6631;3234.6522;11793.3185;20847.0293;14.1309;3078.9596;10380.6244;10748.7493;1;1;21481.2031;-1366.0967
1067;2;0;768.6403;3074.5614;10197.197;19978.2416;13.4199;3065.6187;10714.1471;10428.5675;0;1;21481.2031;-1366.0967
1068;3;1;1567.863;4703.589;19668.2122;8753.1988;4.0363;2908.5503;10171.1834;10086.9329;0;1;21480.6963;-1370.6048
1069;2;0;883.1405;3532.5619;9384.1889;20583.2493;12.9695;2945.3836;10444.7898;10734.8266;0;0;21480.6963;-1370.6048
1070;3;0;1456.1674;4368.5023;21173.3681;7333.1296;3.574;2958.6881;10875.8743;11165.4376;1;0;21479.518;-1375.7696
